# data for traveling sales woman model

# n - number of nodes
param n := 4 ;

# max_out - number of arcs out of each node
param max_out := 1 ;

# max_in - number of arcs in each node
param max_in := 1 ;

# arc_to_self - number of arcs to self allowed
param arc_to_self := 0 ;

# min_arcs_between_subsets - min number of arcs between any subset of nodes
param min_arcs_between_subsets := 2 ;

# create distance parameter from one node to another
# 1, 2, 7 means distance between node 1 and 2 is 7
param d :=
1 1 0
1 2 1
1 3 10
1 4 1
2 1 1
2 2 0
2 3 1
2 4 10
3 1 10
3 2 1
3 3 0
3 4 1
4 1 1
4 2 10
4 3 1
4 4 0
;
